block_length,alpha,procedure,residues_reported,realised_residue_fdp,power,region_over_residue_ratio,fdp_lift_max_gap,cal_units_region_have,cal_units_region_need,cal_units_residue_have,cal_units_residue_need,calibration_budget_ratio
10,0.1,region_BY,561.5,0.00000,0.0977,2.752,5.93e-03,5418.5,166000.34152712574,53945.0,2123426.040637339,12.8
10,0.1,residue_BY,204.0,0.00000,0.0336,2.752,5.93e-03,5418.5,166000.34152712574,53945.0,2123426.040637339,12.8
10,0.1,region_BH,5180.5,0.06787,0.7866,2.752,5.93e-03,5418.5,166000.34152712574,53945.0,2123426.040637339,12.8
10,0.1,region_Bonf,0.0,0.00000,0.0000,2.752,5.93e-03,5418.5,166000.34152712574,53945.0,2123426.040637339,12.8
10,0.05,region_BY,0.0,0.00000,0.0000,0.000,6.74e-03,5468.0,328694.36621311726,54452.0,4207332.160985861,12.8
10,0.05,residue_BY,0.0,0.00000,0.0000,0.000,6.74e-03,5468.0,328694.36621311726,54452.0,4207332.160985861,12.8
10,0.05,region_BH,4207.0,0.03031,0.6305,0.000,6.74e-03,5468.0,328694.36621311726,54452.0,4207332.160985861,12.8
10,0.05,region_Bonf,0.0,0.00000,0.0000,0.000,6.74e-03,5468.0,328694.36621311726,54452.0,4207332.160985861,12.8
25,0.1,region_BY,603.5,0.00000,0.1224,3.002,2.62e-02,2177.5,57396.893314612986,54161.5,2066598.9600585476,36.0
25,0.1,residue_BY,201.0,0.00000,0.0268,3.002,2.62e-02,2177.5,57396.893314612986,54161.5,2066598.9600585476,36.0
25,0.1,region_BH,4916.5,0.07422,0.7947,3.002,2.62e-02,2177.5,57396.893314612986,54161.5,2066598.9600585476,36.0
25,0.1,region_Bonf,0.0,0.00000,0.0000,3.002,2.62e-02,2177.5,57396.893314612986,54161.5,2066598.9600585476,36.0
25,0.05,region_BY,0.0,0.00000,0.0000,0.000,2.18e-02,2179.5,115289.84248440844,54194.0,4139276.234489533,36.0
25,0.05,residue_BY,118.5,0.00000,0.0177,0.000,2.18e-02,2179.5,115289.84248440844,54194.0,4139276.234489533,36.0
25,0.05,region_BH,4034.5,0.03901,0.6597,0.000,2.18e-02,2179.5,115289.84248440844,54194.0,4139276.234489533,36.0
25,0.05,region_Bonf,0.0,0.00000,0.0000,0.000,2.18e-02,2179.5,115289.84248440844,54194.0,4139276.234489533,36.0
50,0.1,region_BY,0.0,0.00000,0.0000,0.000,4.50e-02,1128.0,25485.40083992335,54407.0,2042299.0743273431,80.0
50,0.1,residue_BY,246.5,0.00000,0.0373,0.000,4.50e-02,1128.0,25485.40083992335,54407.0,2042299.0743273431,80.0
50,0.1,region_BH,4811.5,0.09059,0.8239,0.000,4.50e-02,1128.0,25485.40083992335,54407.0,2042299.0743273431,80.0
50,0.1,region_Bonf,0.0,0.00000,0.0000,0.000,4.50e-02,1128.0,25485.40083992335,54407.0,2042299.0743273431,80.0
50,0.05,region_BY,0.0,0.00000,0.0000,0.000,3.72e-02,1124.5,52558.43752941206,54282.5,4201705.465125048,79.8
50,0.05,residue_BY,37.0,0.00000,0.0073,0.000,3.72e-02,1124.5,52558.43752941206,54282.5,4201705.465125048,79.8
50,0.05,region_BH,4202.0,0.04256,0.7037,0.000,3.72e-02,1124.5,52558.43752941206,54282.5,4201705.465125048,79.8
50,0.05,region_Bonf,0.0,0.00000,0.0000,0.000,3.72e-02,1124.5,52558.43752941206,54282.5,4201705.465125048,79.8
100,0.1,region_BY,2942.5,0.02410,0.5675,14.495,7.66e-02,567.0,12168.485132105785,53668.0,2160457.0077403653,176.9
100,0.1,residue_BY,203.0,0.00000,0.0358,14.495,7.66e-02,567.0,12168.485132105785,53668.0,2160457.0077403653,176.9
100,0.1,region_BH,4225.0,0.09908,0.7829,14.495,7.66e-02,567.0,12168.485132105785,53668.0,2160457.0077403653,176.9
100,0.1,region_Bonf,0.0,0.00000,0.0000,14.495,7.66e-02,567.0,12168.485132105785,53668.0,2160457.0077403653,176.9
100,0.05,region_BY,0.0,0.00000,0.0000,0.000,6.17e-02,571.5,23373.66317352335,54148.0,4156024.397101284,178.3
100,0.05,residue_BY,95.5,0.00000,0.0148,0.000,6.17e-02,571.5,23373.66317352335,54148.0,4156024.397101284,178.3
100,0.05,region_BH,3551.0,0.05882,0.7282,0.000,6.17e-02,571.5,23373.66317352335,54148.0,4156024.397101284,178.3
100,0.05,region_Bonf,0.0,0.00000,0.0000,0.000,6.17e-02,571.5,23373.66317352335,54148.0,4156024.397101284,178.3
