benchmark,method,pooled,within_pairweighted,within_unweighted,between,w_within,within_rank,n_targets
Disorder-PDB,DisorderNet-pbias,0.953102,0.955039,0.951235,0.953092,0.005091,1,233
Disorder-PDB,DisorderNet-windowed,0.951161,0.953584,0.948117,0.951148,0.005091,2,233
Disorder-PDB,PUNCH2,0.940971,0.935946,0.932285,0.940996,0.005091,5,233
Disorder-PDB,PUNCH2-Light,0.937740,0.931864,0.927800,0.937770,0.005091,6,233
Disorder-PDB,AlphaFold3-pLDDT,0.930545,0.937498,0.928901,0.930509,0.005091,4,233
Disorder-PDB,PredIDR2-Prof-Art,0.930135,0.914607,0.937117,0.930214,0.005091,12,233
Disorder-PDB,AlphaFold-rsa,0.930012,0.924884,0.917591,0.930038,0.005091,9,233
Disorder-PDB,PredIDR2-Prof-Rnd,0.929954,0.914805,0.931559,0.930032,0.005091,11,233
Disorder-PDB,PredIDR2-Seq-Art,0.927586,0.928821,0.934504,0.927580,0.005091,7,233
Disorder-PDB,AlphaFold3-rsa,0.927492,0.920706,0.921137,0.927527,0.005091,10,233
Disorder-PDB,AlphaFold-pLDDT,0.926958,0.939166,0.934468,0.926896,0.005091,3,233
Disorder-PDB,PredIDR2-Seq-Rnd,0.922441,0.927603,0.925952,0.922415,0.005091,8,233
Disorder-PDB,LMDisorder,0.918317,0.911053,0.910704,0.918354,0.005091,15,233
Disorder-PDB,AlphaFold-binding,0.914546,0.898223,0.873810,0.914630,0.005091,20,233
Disorder-PDB,AUCpred-profile,0.911981,0.906545,0.901527,0.912009,0.005091,16,233
Disorder-PDB,DeepIDP-2L,0.910208,0.911197,0.885139,0.910203,0.005091,14,233
Disorder-PDB,AlphaFold3-binding,0.909732,0.889312,0.872276,0.909837,0.005091,25,233
Disorder-PDB,SETH-0,0.908087,0.886779,0.909893,0.908196,0.005091,26,233
Disorder-PDB,Metapredict-v3,0.904537,0.913140,0.880860,0.904493,0.005091,13,233
Disorder-PDB,AIUPred-2-disorder,0.899823,0.898795,0.857712,0.899828,0.005091,19,233
Disorder-PDB,NeProc2-beta-disorder,0.898224,0.904302,0.849820,0.898193,0.005091,17,233
Disorder-PDB,rawMSA,0.897282,0.876360,0.854407,0.897389,0.005091,30,233
Disorder-PDB,Metapredict-v2,0.896151,0.890778,0.877837,0.896179,0.005091,24,233
Disorder-PDB,NeProc2-beta-binding,0.892396,0.902500,0.834657,0.892344,0.005091,18,233
Disorder-PDB,SETH-1,0.891167,0.865957,0.899721,0.891296,0.005091,31,233
Disorder-PDB,DARUMA-beta,0.887726,0.885939,0.854282,0.887735,0.005091,27,233
Disorder-PDB,SPOT-Disorder-Single,0.886504,0.883031,0.859673,0.886522,0.005091,29,233
Disorder-PDB,ENSHROUD-protein,0.877571,0.865705,0.827190,0.877632,0.005091,33,233
Disorder-PDB,AUCpred-no-profile,0.874220,0.865883,0.860743,0.874263,0.005091,32,233
Disorder-PDB,IsUnstruct,0.871453,0.863673,0.846148,0.871493,0.005091,34,233
Disorder-PDB,rawMSA-disorder,0.869309,0.891295,0.879880,0.869197,0.005091,23,233
Disorder-PDB,ENSHROUD-all,0.866194,0.850936,0.815279,0.866272,0.005091,37,233
Disorder-PDB,flDPnn3a,0.860826,0.897578,0.902589,0.860638,0.005091,21,233
Disorder-PDB,Metapredict-v1,0.860676,0.848445,0.836314,0.860738,0.005091,40,233
Disorder-PDB,flDPnn3b,0.857841,0.849441,0.881187,0.857884,0.005091,38,233
Disorder-PDB,IUPred3,0.852268,0.852123,0.811916,0.852269,0.005091,36,233
Disorder-PDB,ESpritz-X,0.851293,0.841551,0.837753,0.851343,0.005091,42,233
Disorder-PDB,RONN,0.849448,0.848773,0.825735,0.849452,0.005091,39,233
Disorder-PDB,ESpritz-N,0.847013,0.833466,0.834697,0.847082,0.005091,44,233
Disorder-PDB,flDPnn2,0.843440,0.883440,0.864970,0.843235,0.005091,28,233
Disorder-PDB,flDPlr,0.842777,0.855211,0.852362,0.842714,0.005091,35,233
Disorder-PDB,MobiDB-lite,0.834494,0.823222,0.803466,0.834552,0.005091,48,233
Disorder-PDB,pyHCA,0.830250,0.830663,0.786447,0.830248,0.005091,46,233
Disorder-PDB,DeepDISObind-all,0.828913,0.838422,0.740374,0.828865,0.005091,43,233
Disorder-PDB,ENSHROUD-nucleic,0.828390,0.810083,0.757993,0.828484,0.005091,50,233
Disorder-PDB,AIUPred-2-binding,0.827003,0.809215,0.711936,0.827094,0.005091,51,233
Disorder-PDB,ESpritz-D,0.822815,0.845686,0.724465,0.822698,0.005091,41,233
Disorder-PDB,DeepDISObind-protein,0.819136,0.831623,0.721662,0.819072,0.005091,45,233
Disorder-PDB,flDPlr2,0.812691,0.894114,0.859904,0.812275,0.005091,22,233
Disorder-PDB,DisoRDPbind-prot,0.805572,0.812651,0.702648,0.805535,0.005091,49,233
Disorder-PDB,DisoMine,0.801798,0.825344,0.788536,0.801678,0.005091,47,233
Disorder-PDB,ANCHOR2,0.796926,0.796978,0.684001,0.796925,0.005091,52,233
Disorder-PDB,DisEMBL-dis465,0.785570,0.788379,0.777731,0.785556,0.005091,53,233
Disorder-PDB,DeepDISObind-nucleic,0.775570,0.714339,0.681277,0.775884,0.005091,57,233
Disorder-PDB,LINKER-Pred2,0.752041,0.739685,0.746341,0.752104,0.005091,54,233
