benchmark,pairwise_rank,method,pairwise_score,pooled_auc,pooled_rank,rank_change,separated_from_leader,leader,n_targets,n_eligible,n_entered
Disorder-PDB,1,DisorderNet-pbias,0.951235,0.963494,1,0,False,DisorderNet-pbias,233,60,120
Disorder-PDB,2,DisorderNet-Ensemble,0.950795,0.961341,2,0,False,DisorderNet-pbias,233,60,120
Disorder-PDB,3,DisorderNet-windowed,0.948117,0.958969,3,0,False,DisorderNet-pbias,233,60,120
Disorder-PDB,4,PredIDR2-Prof-Art,0.937117,0.936042,10,6,False,DisorderNet-pbias,233,60,120
Disorder-PDB,5,PredIDR2-Seq-Art,0.934504,0.936194,9,4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,6,AlphaFold-pLDDT,0.934468,0.934151,13,7,True,DisorderNet-pbias,233,60,120
Disorder-PDB,7,PUNCH2,0.932285,0.955153,4,-3,True,DisorderNet-pbias,233,60,120
Disorder-PDB,8,PredIDR2-Prof-Rnd,0.931559,0.934486,11,3,False,DisorderNet-pbias,233,60,120
Disorder-PDB,9,AlphaFold3-pLDDT,0.928901,0.932396,14,5,True,DisorderNet-pbias,233,60,120
Disorder-PDB,10,PUNCH2-Light,0.927800,0.952492,5,-5,True,DisorderNet-pbias,233,60,120
Disorder-PDB,11,PredIDR2-Seq-Rnd,0.925952,0.931746,15,4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,12,AlphaFold3-rsa,0.921137,0.947649,7,-5,True,DisorderNet-pbias,233,60,120
Disorder-PDB,13,AlphaFold-rsa,0.917591,0.949772,6,-7,True,DisorderNet-pbias,233,60,120
Disorder-PDB,14,LMDisorder,0.910704,0.937553,8,-6,True,DisorderNet-pbias,233,60,120
Disorder-PDB,15,SETH-0,0.909893,0.925681,18,3,True,DisorderNet-pbias,233,60,120
Disorder-PDB,16,flDPnn3a,0.902589,0.900573,27,11,True,DisorderNet-pbias,233,60,120
Disorder-PDB,17,AUCpred-profile,0.901527,0.917733,22,5,True,DisorderNet-pbias,233,60,120
Disorder-PDB,18,SETH-1,0.899721,0.909441,26,8,True,DisorderNet-pbias,233,60,120
Disorder-PDB,19,DeepIDP-2L,0.885139,0.922654,20,1,True,DisorderNet-pbias,233,60,120
Disorder-PDB,20,flDPnn3b,0.881187,0.895187,28,8,True,DisorderNet-pbias,233,60,120
Disorder-PDB,21,Metapredict-v3,0.880860,0.928866,17,-4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,22,Metapredict-v2,0.877837,0.915366,23,1,True,DisorderNet-pbias,233,60,120
Disorder-PDB,23,AlphaFold-binding,0.873810,0.934194,12,-11,True,DisorderNet-pbias,233,60,120
Disorder-PDB,24,AlphaFold3-binding,0.872276,0.930433,16,-8,True,DisorderNet-pbias,233,60,120
Disorder-PDB,25,flDPnn2,0.864970,0.879717,33,8,True,DisorderNet-pbias,233,60,120
Disorder-PDB,26,AUCpred-no-profile,0.860743,0.888657,30,4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,27,flDPlr2,0.859904,0.861641,41,14,True,DisorderNet-pbias,233,60,120
Disorder-PDB,28,SPOT-Disorder-Single,0.859673,0.911602,25,-3,True,DisorderNet-pbias,233,60,120
Disorder-PDB,29,AIUPred-2-disorder,0.857712,0.925045,19,-10,True,DisorderNet-pbias,233,60,120
Disorder-PDB,30,rawMSA,0.854407,0.919014,21,-9,True,DisorderNet-pbias,233,60,120
Disorder-PDB,31,DARUMA-beta,0.854282,0.914049,24,-7,True,DisorderNet-pbias,233,60,120
Disorder-PDB,32,flDPlr,0.852362,0.879964,32,0,True,DisorderNet-pbias,233,60,120
Disorder-PDB,33,IsUnstruct,0.846148,0.888870,29,-4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,34,ESpritz-X,0.837753,0.872145,36,2,True,DisorderNet-pbias,233,60,120
Disorder-PDB,35,Metapredict-v1,0.836314,0.886817,31,-4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,36,ESpritz-N,0.834697,0.862554,40,4,True,DisorderNet-pbias,233,60,120
Disorder-PDB,37,MobiDB-lite,0.803466,0.865841,38,1,True,DisorderNet-pbias,233,60,120
Disorder-PDB,38,DisoMine,0.788536,0.841401,44,6,True,DisorderNet-pbias,233,60,120
Disorder-PDB,39,pyHCA,0.786447,0.871064,37,-2,True,DisorderNet-pbias,233,60,120
Disorder-PDB,40,DisEMBL-dis465,0.777731,0.803006,46,6,True,DisorderNet-pbias,233,60,120
Disorder-PDB,41,LINKER-Pred-Lite,0.750488,0.747935,49,8,True,DisorderNet-pbias,233,60,120
Disorder-PDB,42,LINKER-Pred2,0.746341,0.780105,47,5,True,DisorderNet-pbias,233,60,120
Disorder-PDB,43,DeepDISObind-all,0.740374,0.875153,34,-9,True,DisorderNet-pbias,233,60,120
Disorder-PDB,44,LINKER-Pred,0.737827,0.769879,48,4,True,DisorderNet-pbias,233,60,120
