benchmark,method,alpha,flagged_median,flagged_iqr_lo,flagged_iqr_hi,realised_risk_median,flagged_per_protein,calibration_credit,n_splits
Disorder-PDB,AIUPred-2-binding,0.2,0.5612,0.5238,0.5912,0.2110,0.5820,0.0208,12
Disorder-PDB,AIUPred-2-binding,0.1,0.7104,0.6659,0.7484,0.0961,0.7800,0.0696,12
Disorder-PDB,AIUPred-2-binding,0.05,0.8265,0.7976,0.8559,0.0384,0.8890,0.0625,12
Disorder-PDB,AIUPred-2-disorder,0.2,0.4380,0.4037,0.4654,0.2083,0.3960,-0.0420,12
Disorder-PDB,AIUPred-2-disorder,0.1,0.6066,0.5618,0.6496,0.0876,0.5980,-0.0086,12
Disorder-PDB,AIUPred-2-disorder,0.05,0.7538,0.7170,0.8160,0.0417,0.7550,0.0012,12
Disorder-PDB,ANCHOR2,0.2,0.6835,0.6630,0.6903,0.2145,0.6390,-0.0445,12
Disorder-PDB,ANCHOR2,0.1,0.8136,0.7928,0.8247,0.1050,0.8440,0.0304,12
Disorder-PDB,ANCHOR2,0.05,0.9091,0.8839,0.9160,0.0503,0.9400,0.0309,12
Disorder-PDB,AUCpred-no-profile,0.2,0.3916,0.3661,0.4043,0.1945,0.3790,-0.0126,12
Disorder-PDB,AUCpred-no-profile,0.1,0.5814,0.5506,0.6057,0.0875,0.5620,-0.0194,12
Disorder-PDB,AUCpred-no-profile,0.05,0.7408,0.7081,0.7645,0.0387,0.7530,0.0122,12
Disorder-PDB,AUCpred-profile,0.2,0.3031,0.2938,0.3288,0.2051,0.3070,0.0039,12
Disorder-PDB,AUCpred-profile,0.1,0.4664,0.4355,0.4866,0.0875,0.4940,0.0276,12
Disorder-PDB,AUCpred-profile,0.05,0.6251,0.5896,0.6374,0.0373,0.6850,0.0599,12
Disorder-PDB,AlphaFold-binding,0.2,0.3086,0.2948,0.3426,0.2031,0.3370,0.0284,12
Disorder-PDB,AlphaFold-binding,0.1,0.4755,0.4384,0.4979,0.1065,0.4870,0.0115,12
Disorder-PDB,AlphaFold-binding,0.05,0.6444,0.6117,0.6656,0.0491,0.6460,0.0016,12
Disorder-PDB,AlphaFold-pLDDT,0.2,0.2561,0.2397,0.2753,0.2073,0.2770,0.0209,12
Disorder-PDB,AlphaFold-pLDDT,0.1,0.3800,0.3468,0.4103,0.1093,0.4400,0.0600,12
Disorder-PDB,AlphaFold-pLDDT,0.05,0.5361,0.5027,0.5836,0.0502,0.6160,0.0799,12
Disorder-PDB,AlphaFold-rsa,0.2,0.3085,0.2949,0.3425,0.2028,0.2920,-0.0165,12
Disorder-PDB,AlphaFold-rsa,0.1,0.4755,0.4383,0.4979,0.1065,0.4490,-0.0265,12
Disorder-PDB,AlphaFold-rsa,0.05,0.6444,0.6117,0.6656,0.0491,0.6080,-0.0364,12
Disorder-PDB,AlphaFold3-binding,0.2,0.2977,0.2920,0.3252,0.2090,0.3460,0.0483,12
Disorder-PDB,AlphaFold3-binding,0.1,0.4597,0.4329,0.5209,0.1046,0.5050,0.0453,12
Disorder-PDB,AlphaFold3-binding,0.05,0.6314,0.6023,0.6845,0.0476,0.6680,0.0366,12
Disorder-PDB,AlphaFold3-pLDDT,0.2,0.2564,0.2436,0.2725,0.2151,0.2770,0.0206,12
Disorder-PDB,AlphaFold3-pLDDT,0.1,0.3742,0.3511,0.4118,0.1042,0.4430,0.0688,12
Disorder-PDB,AlphaFold3-pLDDT,0.05,0.5347,0.5171,0.5946,0.0474,0.6280,0.0933,12
Disorder-PDB,AlphaFold3-rsa,0.2,0.2978,0.2920,0.3252,0.2088,0.2830,-0.0148,12
Disorder-PDB,AlphaFold3-rsa,0.1,0.4584,0.4329,0.5209,0.1046,0.4560,-0.0024,12
Disorder-PDB,AlphaFold3-rsa,0.05,0.6314,0.6023,0.6845,0.0476,0.6020,-0.0294,12
Disorder-PDB,DARUMA-beta,0.2,0.4264,0.3940,0.4611,0.1861,0.4020,-0.0244,12
Disorder-PDB,DARUMA-beta,0.1,0.6124,0.5692,0.6316,0.0939,0.5960,-0.0164,12
Disorder-PDB,DARUMA-beta,0.05,0.7539,0.7287,0.7742,0.0498,0.7440,-0.0099,12
Disorder-PDB,DFLpred,0.2,0.8446,0.8356,0.8709,0.1865,0.8400,-0.0046,12
Disorder-PDB,DFLpred,0.1,0.9362,0.9262,0.9442,0.0882,0.9300,-0.0062,12
Disorder-PDB,DFLpred,0.05,0.9747,0.9658,0.9767,0.0426,0.9700,-0.0047,12
Disorder-PDB,DeepDISObind-all,0.2,0.6392,0.6250,0.6583,0.2054,0.5920,-0.0472,12
Disorder-PDB,DeepDISObind-all,0.1,0.7977,0.7795,0.8125,0.0955,0.7660,-0.0317,12
