accession,n_structures,n_structure_pairs,residues_compared,label_disagreements,eps_label,pairs_compared,discordant_pairs,eps_pairwise
A0A1L8HGL2,19,40,100592,7729,0.076835,33590702,258938,0.007709
P51788,16,40,31348,5479,0.174780,12359739,143560,0.011615
Q9LYG9,35,40,29360,5853,0.199353,10364057,186196,0.017966
P32833,12,40,21874,2280,0.104233,6115898,84118,0.013754
Q5ZTK6,15,40,33276,530,0.015927,5533800,1168,0.000211
O60832,10,40,20560,1141,0.055496,4376643,3188,0.000728
P55917,60,40,17600,505,0.028693,3758661,0,0.000000
O14746,10,28,12171,443,0.036398,2615786,192,0.000073
Q9TU17,60,40,13920,505,0.036279,2409481,0,0.000000
Q94A79,8,28,11732,1702,0.145073,1905926,554,0.000291
Q8I639,4,4,2592,658,0.253858,1846268,38026,0.020596
P38319,20,40,17810,247,0.013869,1694999,800,0.000472
P15917,45,40,16155,1193,0.073847,1598845,598,0.000374
A0A0H2XCS3,12,40,24048,617,0.025657,1518775,9016,0.005936
Q9BUR4,5,10,5480,358,0.065328,1398704,2056,0.001470
P29066,20,40,15736,1009,0.064120,1255656,11912,0.009487
Q9ZKJ5,10,40,13000,445,0.034231,947418,1150,0.001214
Q9NY12,10,40,8680,316,0.036406,925722,0,0.000000
P37093,13,40,14265,276,0.019348,887572,0,0.000000
Q8TDX7,29,40,11984,538,0.044893,842892,570,0.000676
Q9Y2G2,20,6,3222,588,0.182495,746068,1168,0.001566
P32449,50,40,13461,381,0.028304,735796,1482,0.002014
O00418,6,15,9520,310,0.032563,731846,1538,0.002102
P0A8W0,10,40,10520,248,0.023574,730308,0,0.000000
O14497,2,1,1234,0,0.000000,671490,0,0.000000
P28749,13,37,12998,208,0.016002,621871,760,0.001222
Q922S8,7,21,6304,167,0.026491,615794,648,0.001052
Q8N6T7,96,40,10473,124,0.011840,571088,16,0.000028
Q7KQK5,17,40,11147,1177,0.105589,567306,10012,0.017648
P26926,19,40,8714,729,0.083658,536166,5876,0.010959
Q62768,36,15,5403,460,0.085138,505508,4058,0.008028
Q13613,4,6,3426,0,0.000000,490896,0,0.000000
Q91V14,2,1,1105,0,0.000000,470592,0,0.000000
Q15022,38,40,7088,1144,0.161400,458612,4260,0.009289
Q13546,47,40,7473,775,0.103707,453520,1864,0.004110
A7M6E7,12,40,9569,514,0.053715,448057,1642,0.003665
Q09312,19,40,16480,177,0.010740,434795,212,0.000488
P93343,20,40,10128,318,0.031398,423496,618,0.001459
P07275,4,6,3318,25,0.007535,406860,0,0.000000
P19658,8,28,8707,378,0.043413,385178,2832,0.007352
P43586,7,21,4284,1298,0.302988,323298,912,0.002821
P02649,22,40,5022,164,0.032656,315894,308,0.000975
P0DJL7,33,40,7330,1539,0.209959,313008,2250,0.007188
Q9Y572,13,38,6058,345,0.056949,294294,2440,0.008291
P0AFI0,6,15,8460,38,0.004492,273550,0,0.000000
P30519,18,40,9132,129,0.014126,273265,128,0.000468
Q9TZX2,10,40,7520,196,0.026064,272476,150,0.000551
Q9BZV1,15,40,7047,120,0.017029,263173,0,0.000000
Q9Y4B6,44,40,6701,353,0.052679,263101,1078,0.004097
Q9JK62,4,6,2010,4,0.001990,243744,0,0.000000
P41743,17,40,6594,414,0.062784,239942,2928,0.012203
O60016,8,21,4959,350,0.070579,226202,4140,0.018302
P69229,12,40,5609,21,0.003744,213491,0,0.000000
P02710,31,40,4152,256,0.061657,208460,0,0.000000
Q9C932,14,40,5129,194,0.037824,201103,640,0.003182
P06897,449,40,5146,109,0.021182,183984,86,0.000467
P0AC51,8,28,4788,40,0.008354,179928,0,0.000000
P53355,71,40,7287,559,0.076712,179666,1616,0.008994
Q92871,7,21,5502,18,0.003272,173580,24,0.000138
P33891,5,10,3456,48,0.013889,171324,0,0.000000
Q8N465,12,40,18840,21,0.001115,168382,0,0.000000
Q02020,4,6,1572,12,0.007634,157164,0,0.000000
P22108,6,15,3147,153,0.048618,155756,412,0.002645
P25454,7,21,2955,138,0.046701,153837,196,0.001274
P68431,806,40,3534,6,0.001698,153259,2,0.000013
Q9UII6,8,28,3282,15,0.004570,147779,8,0.000054
Q9NZC2,27,40,5051,170,0.033657,144696,84,0.000581
O43353,95,40,3793,411,0.108358,142334,1106,0.007770
Q9NX24,10,40,3927,105,0.026738,138848,40,0.000288
Q8S4P9,3,3,1272,44,0.034591,134906,64,0.000474
P17433,7,15,2053,16,0.007793,126240,0,0.000000
P29372,11,40,4465,374,0.083763,126168,1554,0.012317
Q9FN03,17,15,4389,135,0.030759,124573,606,0.004865
Q12211,2,1,544,13,0.023897,123583,60,0.000486
Q5ZTK4,16,40,6000,352,0.058667,119600,884,0.007391
P0AFW0,12,40,3480,814,0.233908,117077,76,0.000649
P26663,168,40,6925,403,0.058195,114160,572,0.005011
A1C3L3,6,15,1957,704,0.359734,104214,4,0.000038
Q6ZT98,2,1,483,0,0.000000,100624,0,0.000000
T2B9R0,5,10,1640,134,0.081707,96532,0,0.000000
P95493,15,34,5717,70,0.012244,87813,74,0.000843
Q9UMY1,3,3,771,6,0.007782,87020,8,0.000092
Q8LGG8,6,15,2145,50,0.023310,82550,0,0.000000
O00834,6,10,2460,42,0.017073,81292,96,0.001181
Q9H9Q4,39,40,3910,874,0.223529,77106,672,0.008715
Q51693,6,4,1105,15,0.013575,71961,2,0.000028
P02647,9,10,1654,412,0.249093,68356,0,0.000000
Q9V6Q2,3,3,675,10,0.014815,66224,0,0.000000
Q24459,6,15,2120,126,0.059434,62039,332,0.005351
Q6BDI9,5,10,1558,49,0.031451,54186,60,0.001107
P21707,27,40,4548,264,0.058047,51907,246,0.004739
P26949,8,11,1114,119,0.106822,51867,450,0.008676
Q96NI6,4,6,942,344,0.365180,49014,2376,0.048476
Q06069,5,10,1404,78,0.055556,43836,16,0.000365
Q5SWA1,10,40,1820,89,0.048901,41085,0,0.000000
Q84T68,3,3,714,42,0.058824,40348,94,0.002330
P06702,35,40,1800,536,0.297778,40065,48,0.001198
Q86WX3,7,21,2856,552,0.193277,37734,0,0.000000
P80041,4,6,954,0,0.000000,36168,0,0.000000
Q12517,3,3,499,208,0.416834,34026,2470,0.072592
P34413,4,6,734,6,0.008174,31078,0,0.000000
A0A0H3JPC6,6,3,1104,0,0.000000,29736,0,0.000000
D0ZRB2,2,1,588,2,0.003401,29222,0,0.000000
P40399,7,21,1058,36,0.034026,28318,32,0.001130
P32120-2,2,1,384,2,0.005208,27518,0,0.000000
Q12395,8,6,1149,130,0.113142,26294,2,0.000076
Q6FML9,2,1,312,27,0.086538,25875,340,0.013140
Q45914,2,1,337,0,0.000000,25784,0,0.000000
P9WNI7,4,6,564,43,0.076241,25329,18,0.000711
Q9BU02,4,6,1011,65,0.064293,25167,300,0.011920
P33371,6,6,1290,60,0.046512,23988,72,0.003002
P36156,4,6,621,23,0.037037,23670,30,0.001267
P04792,32,40,2292,252,0.109948,22320,126,0.005645
Q8N5K1,14,40,2775,56,0.020180,22307,12,0.000538
Q9NPD8,19,37,2667,38,0.014248,20953,0,0.000000
P71875,2,1,386,10,0.025907,20740,42,0.002025
O00499,2,1,272,10,0.036765,20380,0,0.000000
P0AGD7,23,40,1665,129,0.077477,20100,0,0.000000
A0A564ZT73,2,1,201,2,0.009950,19886,0,0.000000
Q92597,2,1,289,7,0.024221,18886,24,0.001271
O60232,2,1,199,2,0.010050,17422,2,0.000115
P40484,2,1,236,39,0.165254,17295,216,0.012489
P61956,12,10,864,330,0.381944,15512,928,0.059825
Q8IJ45,2,1,301,10,0.033223,15302,32,0.002091
O93568,4,1,409,1,0.002445,15190,0,0.000000
P0A6B7,2,1,404,0,0.000000,14630,0,0.000000
Q9CA59,4,6,404,33,0.081683,14341,64,0.004463
Q2WF71,2,1,359,5,0.013928,11956,8,0.000669
Q12285,23,22,1347,44,0.032665,11692,26,0.002224
P9WHP7,2,1,187,8,0.042781,10192,30,0.002943
A0A0G2KTI4,10,21,3429,0,0.000000,10176,0,0.000000
P37837,2,1,337,0,0.000000,9660,0,0.000000
Q96E09,3,3,276,62,0.224638,8932,456,0.051052
P21579,27,40,840,78,0.092857,7184,84,0.011693
P62368,2,1,159,0,0.000000,6700,0,0.000000
A0A0B4JDC9,14,1,130,27,0.207692,6545,100,0.015279
Q8IWJ2,3,3,198,16,0.080808,6434,0,0.000000
Q9NZI8,4,3,489,4,0.008180,5648,0,0.000000
P17993,3,1,189,11,0.058201,5632,0,0.000000
P53228,2,1,205,1,0.004878,5524,0,0.000000
P53847,7,1,303,6,0.019802,5274,0,0.000000
P45973,5,6,384,13,0.033854,4649,14,0.003011
Q8R4E9,2,1,197,1,0.005076,4612,0,0.000000
O25119,5,3,270,4,0.014815,4512,0,0.000000
O82882,2,1,120,117,0.975000,4243,1944,0.458166
Q7BTX0,2,1,138,7,0.050725,4217,12,0.002846
P9WMI9,2,1,118,1,0.008475,4149,0,0.000000
Q8RN04,3,3,158,16,0.101266,3662,48,0.013108
O14907,4,1,124,2,0.016129,3636,0,0.000000
P9WI79,3,3,168,2,0.011905,3582,0,0.000000
Q93K76,2,1,109,2,0.018349,3558,0,0.000000
Q20010,10,6,336,23,0.068452,3423,12,0.003506
Q9NPJ4,6,1,121,1,0.008264,3088,0,0.000000
Q75PQ8,2,1,100,0,0.000000,2952,0,0.000000
P9WNK7,2,1,94,6,0.063830,2832,0,0.000000
Q5TDH0,2,1,78,11,0.141026,2601,20,0.007689
P42641,8,16,988,5,0.005061,1835,8,0.004360
P46097,3,3,96,6,0.062500,1557,0,0.000000
P0C7U7,2,1,62,11,0.177419,1441,0,0.000000
